Sektor,Kõrgemal seisev asutus,Registrikood,Üksuse nimi,Üksuse liik,Muudatused
Keskvalitsus,Sotsiaalministeerium,90004585,Sihtasutus Viljandi Haigla,sihtasutused,
Keskvalitsus,Kultuuriministeerium,90005113,Sihtasutus Jõulumäe Tervisespordikeskus,sihtasutused,
Keskvalitsus,Kultuuriministeerium,90005188,Eesti Laulu- ja Tantsupeo Sihtasutus,sihtasutused,
Keskvalitsus,Kultuuriministeerium,90005426,Sihtasutus KULTUURILEHT,sihtasutused,
Keskvalitsus,Vabariigi Presidendi Kantselei,90005780,Sihtasutus Vabariigi Presidendi Kultuurirahastu,sihtasutused,
Keskvalitsus,Kliimaministeerium,90005946,Sihtasutus Keskkonnainvesteeringute Keskus,sihtasutused,
Keskvalitsus,Majandus- ja Kommunikatsiooniministeerium,90006012,Ettevõtluse ja Innovatsiooni Sihtasutus,sihtasutused,
Keskvalitsus,Justiits- ja Digiministeerium,90006101,Riigiside Sihtasutus,sihtasutused,
Keskvalitsus,Sotsiaalministeerium,90006399,sihtasutus Põhja-Eesti Regionaalhaigla,sihtasutused,
Keskvalitsus,Haridus- ja Teadusministeerium,90006414,Sihtasutus Kutsekoda,sihtasutused,
Keskvalitsus,Haridus- ja Teadusministeerium,90007023,Spordikoolituse ja -Teabe Sihtasutus,sihtasutused,
Keskvalitsus,Vabariigi Presidendi Kantselei,90007081,sihtasutus Eesti Koostöö Kogu,sihtasutused,
Keskvalitsus,Sotsiaalministeerium,90007425,Sihtasutus Jõgeva Haigla,sihtasutused,
Keskvalitsus,Haridus- ja Teadusministeerium,90007572,Sihtasutus Teaduskeskus Ahhaa,sihtasutused,
Keskvalitsus,Kultuuriministeerium,90007715,Sihtasutus Tehvandi Spordikeskus,sihtasutused,
Keskvalitsus,Sotsiaalministeerium,90007945,SIHTASUTUS EESTI TERVISHOIU PILDIPANK,sihtasutused,
Keskvalitsus,Haridus- ja Teadusministeerium,90007980,Sihtasutus Eesti Maaülikooli Joosep Tootsi Fond,sihtasutused,
Keskvalitsus,Kultuuriministeerium,90008005,Sihtasutus Ugala Teater,sihtasutused,
Keskvalitsus,Sotsiaalministeerium,90008123,Sihtasutus Haapsalu Neuroloogiline Rehabilitatsioonikeskus,sihtasutused,
Muu avalik sektor,Majandus- ja Kommunikatsiooniministeerium ,90008258,Sihtasutus Tallinna Teaduspark TEHNOPOL,sihtasutused,
Keskvalitsus,Kultuuriministeerium,90008264,Sihtasutus Eesti Draamateater,sihtasutused,
Keskvalitsus,Kultuuriministeerium,90008666,Sihtasutus Südalinna Teater,sihtasutused,
Keskvalitsus,Kaitseministeerium,90009217,Sihtasutus Rahvusvaheline Kaitseuuringute Keskus,sihtasutused,
