Sektor,Kõrgemal seisev asutus,Registrikood,Üksuse nimi,Üksuse liik,Muudatused
KOV,Pärnu Linnavalitsus,75015077,Audru Lasteaed,valla või linna ametiasutuste hallatav asutus,
KOV,Pärnu Linnavalitsus,75015172,Audru Kultuuri-ja Spordikeskus,valla või linna ametiasutuste hallatav asutus,
KOV,Kastre Vallavalitsus,75015249,Melliste Kool,valla või linna ametiasutus,
KOV,Sillamäe Linnavalitsus,75015367,Sillamäe Muusikakool,valla või linna ametiasutuste hallatav asutus,
KOV,Sillamäe Linnavalitsus,75015373,Sillamäe Huvi- ja Noortekeskus Ulei,valla või linna ametiasutuste hallatav asutus,
KOV,Sillamäe Linnavalitsus,75015382,Sillamäe Raamatukogu,valla või linna ametiasutuste hallatav asutus,
KOV,Tartu Linnavalitsus,75015410,Ilmatsalu Põhikool,valla või linna ametiasutuste hallatav asutus,
KOV,Tartu Linnavalitsus,75015433,Ilmatsalu Lasteaed Lepatriinu,valla või linna ametiasutuste hallatav asutus,
KOV,Antsla Vallavalitsus,75015485,Kuldre Kool,valla või linna ametiasutuste hallatav asutus,
KOV,Antsla Vallavalitsus,75015491,Kuldre Raamatukogu,valla või linna ametiasutuste hallatav asutus,
KOV,Tori Vallavalitsus,75015580,Tori Lasteaed,valla või linna ametiasutuste hallatav asutus,
KOV,Tori Vallavalitsus,75015634,Tori Põhikool,valla või linna ametiasutuste hallatav asutus,
KOV,Järva Vallavalitsus,75015657,Järva Vallaraamatukogu,valla või linna ametiasutuste hallatav asutus,
KOV,Järva Vallavalitsus,75015692,Koigi Kool,valla või linna ametiasutuste hallatav asutus,
KOV,Kuusalu Vallavalitsus,75015723,Vihasoo Lasteaed-Algkool,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75015730,Haabersti Tegevuskeskus,valla või linna ametiasutuste hallatav asutus,
KOV,Otepää Vallavalitsus,75015806,Keeni Põhikool,valla või linna ametiasutuste hallatav asutus,
KOV,Mulgi Vallavalitsus,75015829,Abja Kultuurimaja,valla või linna ametiasutuste hallatav asutus,
KOV,Mulgi Vallavalitsus,75015835,Abja Muusikakool,valla või linna ametiasutuste hallatav asutus,
KOV,Mulgi Vallavalitsus,75015864,Abja Gümnaasium,valla või linna ametiasutuste hallatav asutus,
KOV,Mulgi Vallavalitsus,75015870,Abja Lasteaed,valla või linna ametiasutuste hallatav asutus,
KOV,Narva-Jõesuu Linnavalitsus,75015893,Sinimäe Põhikool,valla või linna ametiasutuste hallatav asutus,
KOV,Mulgi Vallavalitsus,75015901,Halliste Rahvamaja,valla või linna ametiasutus,
KOV,Mulgi Vallavalitsus,75015918,Kaarli Rahvamaja,valla või linna ametiasutuste hallatav asutus,
KOV,Mulgi Vallavalitsus,75015924,Uue-Kariste Rahvamaja,valla või linna ametiasutuste hallatav asutus,
KOV,Mulgi Vallavalitsus,75015953,Halliste Raamatukogu,valla või linna ametiasutuste hallatav asutus,
KOV,Mulgi Vallavalitsus,75015960,Õisu Raamatukogu,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75015982,Tallinna Spordikeskus,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75016013,Lasnamäe Linnaosa Valitsus,valla või linna ametiasutus,
KOV,Tallinna Linnakantselei,75016036,Nõmme Kultuurikeskus,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75016042,Nõmme Vaba Aja Keskus,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75016059,Nõmme Sotsiaalmaja,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75016071,Tallinna Keskraamatukogu,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75016088,Tallinna Filharmoonia,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75016094,Tallinna Linnateater,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75016102,Tallinna Loomaaed,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75016119,Tallinna Salme Kultuurikeskus,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75016154,Nõmme Muusikakool,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75016160,Tallinna Muusikakool,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75016177,Tallinna Kunstikool,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75016183,Tallinna Linnamuuseum,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75016208,Tallinna Rahvaülikool,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75016220,Kultuurikeskus Lindakivi,valla või linna ametiasutuste hallatav asutus,
KOV,Tapa Vallavalitsus,75016272,Tapa Valla Kool,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75016326,Kristiine Tegevuskeskus,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75016361,Tallinna Kesklinna Tegevuskeskus,valla või linna ametiasutuste hallatav asutus,
KOV,Räpina Vallavalitsus,75016415,Mehikoorma Põhikool,valla või linna ametiasutuste hallatav asutus,
KOV,Kastre Vallavalitsus,75016421,Järvselja Raamatukogu,valla või linna ametiasutuste hallatav asutus,
KOV,Kastre Vallavalitsus,75016444,Võõpste Raamatukogu,valla või linna ametiasutuste hallatav asutus,
KOV,Kastre Vallavalitsus,75016450,Melliste Raamatukogu,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75016467,Tallinna Tondi Kool,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75016486,Tallinna Huvikeskus Kullo,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75016496,Tallinna Kristiine Lasteaed,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75016510,Tallinna Lilleküla Gümnaasium,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75016527,Tallinna Vindi Lasteaed,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75016533,Tallinna Kristiine Gümnaasium,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75016540,Tallinna Muinasjutu Lasteaed,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75016556,Tallinna Haraka Lasteaed,valla või linna ametiasutus,
KOV,Tallinna Linnakantselei,75016562,Tallinna Kullerkupu Lasteaed,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75016579,Tallinna Kannikese Lasteaed,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75016585,Tallinna Lepatriinu Lasteaed,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75016591,Tallinna Lille Lasteaed,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75016605,Tallinna Linnupesa Lasteaed,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75016616,Tallinna Mutionu Lasteaed,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75016622,Tallinna Tihase Lasteaed,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75016645,Tallinna Kivimäe Põhikool,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75016651,Tallinna Nõmme Gümnaasium,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75016668,Tallinna Nõmme Huvikool,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75016674,Tallinna Nõmme Põhikool,valla või linna ametiasutus,
KOV,Tallinna Linnakantselei,75016697,Tallinna Pääsküla Kool,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75016705,Tallinna Rahumäe Põhikool,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75016728,Tallinna Lastesõim Hellik,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75016734,Tallinna Lasteaed Kaseke,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75016740,Tallinna Lasteaed Kraavikrõll,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75016763,Tallinna Lasteaed Männimudila,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75016770,Tallinna Lasteaed Nõmmekannike,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75016786,Tallinna Lasteaed Rabarüblik,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75016792,Lasnamäe Gümnaasium,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75016800,Tallinna Tuule Lasteaed,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75016817,Lasnamäe Vene Gümnaasium,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75016852,Tallinna Kuristiku Gümnaasium,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75016869,Tallinna Laagna Gümnaasium,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75016875,Tallinna Laagna Lasteaed-Põhikool,valla või linna ametiasutus,
KOV,Tallinna Linnakantselei,75016898,Tallinna Linnamäe Vene Lütseum,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75016906,Tallinna Läänemere Gümnaasium,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75016912,Tallinna Mahtra Põhikool,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75016935,Tallinna Pae Gümnaasium,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75016958,Tallinna Lasteaed Kirsike,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75016993,Tallinna Arbu Lasteaed,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75017001,Tallinna Asunduse Lasteaed,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75017030,Tallinna Kivila Lasteaed,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75017047,Tallinna Kivimurru Lasteaed,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75017053,Tallinna Kuristiku Lasteaed,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75017067,Tallinna Lasteaed Laagna Rukkilill,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75017076,Tallinna Liikuri Lasteaed,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75017082,Tallinna Lindakivi Lasteaed,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75017099,Tallinna Linnamäe Lasteaed,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75017107,Tallinna Loitsu Lasteaed,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75017113,Tallinna Läänemere Lasteaed,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75017121,Tallinna Mahtra Lasteaed,valla või linna ametiasutus,
KOV,Tallinna Linnakantselei,75017142,Tallinna Muhu Lasteaed,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75017159,Tallinna Mustakivi Lasteaed,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75017165,Tallinna Paekaare Lasteaed,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75017171,Tallinna Pallasti Lasteaed,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75017188,Tallinna Priisle Lasteaed,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75017194,Tallinna Pae Lasteaed,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75017202,Tallinna Raadiku Lasteaed,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75017219,Tallinna Seli Lasteaed,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75017225,Tallinna Sikupilli Lasteaed,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75017231,Tallinna Suur-Pae Lasteaed,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75017248,Tallinna Vormsi Lasteaed,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75017260,Tallinna Ümera Lasteaed,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75017283,Ehte Humanitaargümnaasium,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75017296,Kalamaja Põhikool,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75017314,Karjamaa Põhikool,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75017337,Pelgulinna Gümnaasium,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75017350,Ristiku Põhikool,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75017372,Tallinna Kunstigümnaasium,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75017389,Tallinna Heleni Kool,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75017403,Tallinna Kopli Huvikool,valla või linna ametiasutus,
KOV,Tallinna Linnakantselei,75017432,Kalamaja Lasteaed,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75017449,Kolde Lasteaed,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75017455,Kopli Lasteaed,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75017461,Lasteaed Kajakas,valla või linna ametiasutuste hallatav asutus,
