Sektor,Kõrgemal seisev asutus,Registrikood,Üksuse nimi,Üksuse liik,Muudatused
MANUAL_IMPORT,Kõpu Vallavalitsus,75014617,Kõpu Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Kõrgessaare Vallavalitsus,75011990,Kõrgessaare Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Kõue Vallavalitsus,75014706,Kõue Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Käina Vallavalitsus,75011211,Käina Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Kärla Vallavalitsus,75015025,Kärla Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Käru Vallavalitsus,75026508,Käru Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Laekvere Vallavalitsus,75010803,Laekvere Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Laeva Vallavalitsus,75020339,Laeva Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Laheda Vallavalitsus,75009467,Laheda Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Laimjala Vallavalitsus,75020799,Laimjala Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Lasva Vallavalitsus,75000911,Lasva Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Lavassaare Vallavalitsus,75000012,Lavassaare Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Lavassaare Vallavalitsuse Kommunaalasutus,75000029,Lavassaare Vallavalitsuse Kommunaalasutus,GOV_KOV,
MANUAL_IMPORT,Lehtse Vallavalitsus,75016237,Lehtse Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Leisi Vallavalitsus,75019595,Leisi Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Lihula Vallavalitsus,75013575,Lihula Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Lohusuu Vallavalitsus,75004464,Lohusuu Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Loksa Vallavalitsus,75012133,Loksa Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Loodna Vallavalitsus,75022166,Loodna Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Lääne-Saare Vallavalitsus,75038977,Lääne-Saare Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Lüganuse Vallavalitsus,75002181,Lüganuse Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Lüganuse Vallavalitsus,75038629,Lüganuse Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Lümanda Vallavalitsus,75026359,Lümanda Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Maidla Vallavalitsus,75005647,Maidla Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Martna Vallavalitsus,75019945,Martna Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Meeksi Vallavalitsus,75016214,Meeksi Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Meremäe Vallavalitsus,75013351,Meremäe Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Mikitamäe Vallavalitsus,75024610,Mikitamäe Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Misso Vallavalitsus,75013782,Misso Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Mooste Vallavalitsus,75013865,Mooste Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Mustjala Vallavalitsus,75017981,Mustjala Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Mõniste Vallavalitsus,75001129,Mõniste Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Mäetaguse Vallavalitsus,75005044,Mäetaguse Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Mäksa Vallavalitsus,75015226,Mäksa Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Märjamaa Vallavalitsus,75022835,Märjamaa Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Nissi Vallavalitsus,75010298,Nissi Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Noarootsi Vallavalitsus,75013546,Noarootsi Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Nõva Vallavalitsus,75023036,Nõva Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Oisu Vallavalitsus,75004275,Oisu Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Olustvere Vallavalitsus,75006061,Olustvere Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Orava Vallavalitsus,75027005,Orava Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Orissaare Vallavalitsus,75020718,Orissaare Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Oru Vallavalitsus,75011702,Oru Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Padise Vallavalitsus,75020167,Padise Vallavalitsus,GOV_KOV,
